status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
检修,160,山东,2018-05-31 16:30:22,沥青停产，持续时间不定,地炼,京博石化,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,160,山东,2018-05-31 16:30:22,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/28224826.html,2018-05-17
未产,60,山东,2018-05-31 16:30:22,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28224826.html,2018-05-17
停工,30,华南,2018-05-31 16:30:22,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,60,华南,2018-05-31 16:30:22,5月14日起装置检修,地炼,华峰,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,70,华东,2018-05-31 16:30:23,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,70,华东,2018-05-31 16:30:23,预计5月20日生产沥青,中石化,上海石化,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,160,华东,2018-05-31 16:30:23,15日起沥青停产，复产时间不定,中石化,镇海炼化,http://oil.chem99.com/news/28224826.html,2018-05-17
停产,80,华东,2018-05-31 16:30:23,月底计划停工,地炼,金海宏业,http://oil.chem99.com/news/28224826.html,2018-05-17
产沥青,100,华北,2018-05-31 16:30:23,5月17日起正常销售,地炼,鑫海石化,http://oil.chem99.com/news/28224826.html,2018-05-17
扩产能,70,华北,2018-05-31 16:30:23,1月-8月,中石油,中油秦皇岛,http://oil.chem99.com/news/28224826.html,2018-05-17
开工,50,西北,2018-05-31 16:30:23,开工推迟至20号左右，暂未生产沥青,中石化,塔河炼化,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,100,东北,2018-05-31 16:30:23,5月25日起检修，为期半个月,地炼,盘锦北沥,http://oil.chem99.com/news/28224826.html,2018-05-17
,,华南,2018-05-31 16:30:24,,,,http://oil.chem99.com/news/28226380.html,2018-05-17
,,华东,2018-05-31 16:30:24,,,,http://oil.chem99.com/news/28226380.html,2018-05-17
,,山东,2018-05-31 16:30:24,,,,http://oil.chem99.com/news/28226380.html,2018-05-17
,,东北,2018-05-31 16:30:24,,,,http://oil.chem99.com/news/28226380.html,2018-05-17
,,西北,2018-05-31 16:30:24,,,,http://oil.chem99.com/news/28226380.html,2018-05-17
,,西南,2018-05-31 16:30:24,,,,http://oil.chem99.com/news/28226380.html,2018-05-17
停工,30,山东,2018-05-31 16:30:27,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28293643.html,2018-05-24
产渣油,170,山东,2018-05-31 16:30:27,5月26日起转产沥青,地炼,东明石化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,110,山东,2018-05-31 16:30:27,5月14日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,160,山东,2018-05-31 16:30:27,周初恢复生产,地炼,京博石化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,160,山东,2018-05-31 16:30:27,5月中旬起恢复生产,地炼,中化弘润,http://oil.chem99.com/news/28293643.html,2018-05-24
未产,60,山东,2018-05-31 16:30:27,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28293643.html,2018-05-24
沥青停产,30,山东,2018-05-31 16:30:27,5月26日至6月12日,中石化,青岛炼化,http://oil.chem99.com/news/28293643.html,2018-05-24
停工,30,华南,2018-05-31 16:30:27,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,60,华南,2018-05-31 16:30:27,5月14日起装置检修,地炼,华峰,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,70,华东,2018-05-31 16:30:27,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,70,华东,2018-05-31 16:30:27,恢复沥青生产,中石化,上海石化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,160,华东,2018-05-31 16:30:27,恢复沥青生产,中石化,镇海炼化,http://oil.chem99.com/news/28293643.html,2018-05-24
停产,80,华东,2018-05-31 16:30:27,月底计划停工,地炼,金海宏业,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,100,华北,2018-05-31 16:30:27,5月17日起正常销售,地炼,鑫海石化,http://oil.chem99.com/news/28293643.html,2018-05-24
扩产能,70,华北,2018-05-31 16:30:27,1月-8月,中石油,中油秦皇岛,http://oil.chem99.com/news/28293643.html,2018-05-24
开工,50,西北,2018-05-31 16:30:27,恢复沥青生产,中石化,塔河炼化,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,110,西北,2018-05-31 16:30:27,8月2日至9月20日,中石油,克拉玛依,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,100,东北,2018-05-31 16:30:27,5月25日起检修，为期20天,地炼,盘锦北沥,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,60,东北,2018-05-31 16:30:27,6月计划检修，为期10天,中海油,中海油营口,http://oil.chem99.com/news/28293643.html,2018-05-24
,,华南,2018-05-31 16:30:29,,,,http://oil.chem99.com/news/28295134.html,2018-05-24
,,华东,2018-05-31 16:30:29,,,,http://oil.chem99.com/news/28295134.html,2018-05-24
,,山东,2018-05-31 16:30:29,,,,http://oil.chem99.com/news/28295134.html,2018-05-24
,,东北,2018-05-31 16:30:29,,,,http://oil.chem99.com/news/28295134.html,20status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
检修,60,华东,2018-05-31 16:55:12,6月初-7月中旬,中石油,中油兴能,http://oil.chem99.com/news/24831558.html,2017-05-18
3#常减压检修,90,华东,2018-05-31 16:55:12,4月12日-5月底,中石化,上海石化,http://oil.chem99.com/news/24831558.html,2017-05-18
停工,30,山东,2018-05-31 16:55:12,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/24831558.html,2017-05-18
检修,120,山东,2018-05-31 16:55:12,5月15日-6月中旬,中石化,齐鲁石化,http://oil.chem99.com/news/24831558.html,2017-05-18
转产,100,山东,2018-05-31 16:55:12,5月上旬-5月22日,地炼,滨阳燃化,http://oil.chem99.com/news/24831558.html,2017-05-18
检修,250（常减压）,山东,2018-05-31 16:55:12,4月15日-待定,中海油,中海沥青,http://oil.chem99.com/news/24831558.html,2017-05-18
停工,60,华南,2018-05-31 16:55:12,16年9月中旬-2017年3月,地炼,珠海华峰,http://oil.chem99.com/news/24831558.html,2017-05-18
